clean_sentence,dyslexic_sentence,error_type
ගඟ ඉවුර ලස්සනයි.,ගඟ ඉවුර ලස්සනයි.,no_error
ඔයා මට කලින් කතා කරන්න ඕනේ.,ඔයා මට කලින් කතා කරන්ඩ ඔනේ,Spelling
කිරි බිබී ඉන්නවා,කිරි බිබී,Incomplete Sentence
පිටරට යනවා.,පිටරට යනව,Grammar
වහිනවා.,වහිනව.,grammar
කඩෙන් පටු රෙදි ගත්තා,කඩෙන් පට රෙදි ගත්ත,visual scrambling
මම හරිම සන්තෝෂයි.,මං හරිම සන්තොසයි.,phonetic
අද ඉඳලා අලුත් වැඩ පටන්ගන්නවා.,අද ඉඳල අලුත් වැඩ පටන්ගන්නව,Spelling
මගේ තියෙනවා පොතක්,මගෙ තියෙනව පොතක්,unknown
අද කාලගුණය හොඳයි,අද වෙලාවෙ හොඳයි,unknown
පන්සලට යන්න තියෙනවා.,පන්සලේට යන්න තියෙනවා.,phonetic
එයා බත් කෑවා,එයා බත් කැව,grammar
මම යන්න ඕනි,මම යන්න ඔනි,unknown
අපි ක්ලාස් එකට යනවා.,අපි ක්ලාස් එකට යනව,unknown
අක්කා සින්දු කිව්වා.,අක්කා සින්දු කිව්වා.,no_error
අද කීයද?,අද කීයද,unknown
පොතේ පිටු ගොඩක් තියෙනවා.,පොතෙ පිටු ගොඩක් තියෙනවා,Spelling
කතාව ලියලා ඉවරකරනවා.,කතාව ලියල ඉවරකරනව.,unknown
පොත භාගෙට තිබුන,පොත බාගෙට තිබුන,Phonetic Confusion
හෙට නුවරඑලිය යනවා තමයි.,හෙට නුවරඑලිය යනව ඩවයි.,Grammar
අල්ලගනින්,අල්ලගනින්,no_error
රට නෙමෙයි රටයි.,රට නෙමෙයි රටයි,unknown
කට්ටියගේ කතා,කට්ටිගෙ කතා,unknown
බල්ලා වල්ගය වනනවා.,බල්ලා වල්ගය වනනව,Grammar
අදනම් මට නිදි මතයි.,අදනම් මට නිදි මතය්.,grammar
බොරව අරින්න.,බොරව අරින්න.,no_error
දකිනව දැකල සතුටුයි.,කියනව දැකල සතුටුයි,Visual Scrambling
සතා සණ්ඩු කරනවා.,සතා සන්ඩු කරනවා,Phonetic (N/ND)
ඉස්කෝලේ ළඟ වහල ද?,ඉස්කෝලේ ඩොර වහල ද?,visual_reversal
පූසා තාම නිදාගන්නවා.,පූස තාම නිඩගන්නවා,Spelling
ඔයා එනවද මා එක්ක.,ඔයා එනවද මගෙත් එක්ක,Spelling
දිවස වටිනවලු,දිවස වටිනවලු,no_error
පළාම් එනවා,පලම් එනව,phonetic
අද ඉස්කෝලෙ ඇරෙන්නේ නෑ.,අද ඉස්කෝලෙ ඇරෙන්නේ නෑ.,no_error
අද ඉස්කෝලේ ඇරෙනවා.,අද ඉස්කොලෙ ඇරෙනව.,spoken vs written
පොඩ්ඩක් ඉඳලා ඉඳගන්න.,පොඩ්ඩක් ඉඳලා ඉඳගන්න.,no_error
කතාව ඇත්තටම හරිම භයානකයි.,කතාව ඇත්තටම හරිම බයනකයි,Phonetic (B/Bh)
ගඟුව දැන් වසයි,ගඩුව දැන් වසයි,Phonetic Confusion
මට දෙවල් ගන්න ඕනේ.,මුට දෙවල් ගන්න ඔනේ,Visual Reversal
අද මම ඉස්කෝලෙ යනවා.,අද මම ඉස්කෝලෙ යනවා.,no_error
සංගමයේ අය කතා කරනවා,සංගමයේ අය කතා කරනවා,no_error
ගණිත පන්තිය අද තියෙන්නේ,ගණිත පන්තිය අද තියෙන්නෙ,spoken vs written
කැමති නම් එන්න.,කැමති නම් එන්ඩ,Spelling
බල්ලා වලිගෙ වනමින් ඉන්නවා.,බල්ලා වලිගෙ වනමින් ඉන්නවා.,no_error
අද හරිම උෂ්ණයි.,අද හරිම උෂ්ණයි.,no_error
කියන්න බලන්න,කෙලින්න බලන්න,Phonetic Confusion
අද ණයක් ගන්න ඕන,අද ණයක් ගන්න ඕන,unknown
අම්මා බත් උයලා ඉවරයි,අම්මා බත් උයල ඉවරයි,Phonetic Confusion
අද දවස හොඳයි.,අද ඳවස හොදයි.,න/ණ
මට බඩගිනි තමයි.,මට බඩගිනි තමයි.,no_error
පුටුව උඩ තිබ්බා.,පුටුව උඩ එබුවා,Visual Scrambling
පොඩි ළමයින්ට සීනි කන්න දෙනවා,පොඩි ළමයින්ට සීනි කනව,Grammar
ඔයාලා දැන් කොහෙද යන්නේ.,ඔයාල කොහෙද යන්නෙ දැන්.,grammar
තාත්තා ඔෆිස් යනවා.,තාත්තා ඔපිස් යනව,Spelling
මට ඒ ජොබ් එක කරන්න බෑ.,මට ඒ ජොබ් එක කරන්න බෑ.,no_error
මට බඩගිනී,මට බඩගණී,phonetic
මම හෙට එන්නම් කිව්වා.,මම හෙට එන්නම් කීව.,Spelling
මං ගෙදරට ගියා.,ගෙදරට ගියා මං.,word_order
පාසලට යන්න ඕන,ඉස්කොලෙට යන්න ඕන,grammar
පාරේ යනකොට.,පාරෙ යනකොට,Spelling
සතුටුයි ඔයාව දැකලා.,සතුටුයි ඔයාව දැකල,unknown
පන්සලට යන්න ඕන,පන්සලෙට යන්න ඔන,grammar
එයා ගෙදර යනවා.,එයා ගෙදර යනව,Grammar
දුර දෙස බලාගෙන ඉන්න.,දුරස බලාගෙන ඉන්න,Visual Scrambling
කටු,කටඩ,visual reversal
එයා වැඩ කළා.,එයා වැඩ කලා,Phonetic (L/L)
තාත්තා එනවා කිව්වා.,තාත්ත එනව කිව්ව,Spelling
මම කඩේට ගිහින් එනවා.,මම කඩේට ගිහින් එනවා,unknown
පළවෙනි ජනවාරි,පලවෙන ජෙනවාරී,visual
මම හෙට යනවා,මං හෙට යනව,spoken vs written
අලි ඇතුළ ඉන්නෙ වනයේ,අලි ඇතුළ ඉන්නෙ වනයේ,no_error
කූඩුවේ කුරුල්ලෝ.,කූඩුවෙ කුරුල්ලො,Spelling
ඔයා දැන් කොහෙද යන්නේ?,ඔයා යන්නෙ කොහෙද දැන්,Word Order
අධ්‍යාපන දෙපාර්තමේන්තුව,අද්යාපනෙ දෙපාර්තමේන්තුව,Phonetic Confusion
පූසා ඩැස්ස අස්සේ හැංගිලා,පූස ඩැස්ස අස්සේ හැංගිලා,Grammar
අද මම කේක් කෑව ඒකෙනුත් රහයි.,අද මම කේක් කෑව එකිනුත් රහයි.,Spelling
සිරිමාවෝ බණ්ඩාරනායක ලංකාවේ පළවෙනි ගැහැනු ප්‍රධාන අමාත්‍යවරිය වුණා.,සිරිමාවෝ බන්ඩාරනායක ලංකාවේ පලවෙනි ගැහැනු ප්‍ර්‍රදාන අමාත්‍යවරිය වුනා.,phonetic
මම පොතක් කියවන්න ඕනේ.,මම පොතක් කියවන්ඩ ඔනේ.,spoken vs written form
පොඩි ළමයි සෙල්ලම් කරනවා.,පොඩි ළමයි සෙල්ලම් කරනවා.,no_error
පුටුව උඩින් තියෙනවා,පුටව උඩින් තියනව,Grammar
කතාවක් දන්නවද ඔයා.,කතාවක් දන්නවද ඔයා.,grammar
පන්තියට යනවා,පන්තිහට යනව,wrong order
අද ගොඩක් වැඩ තිබ්බා,අද ගොඩක් වැඩ තිබ්බ,Grammar
අදනම් කම්මැලි,අදනම් කම්මැලි,unknown
පොලිසියට කතා කරන්න,පොලිසයට කත කරනන,න/ණ confusion
බල්ලා සුදු පාටයි,බල්ලා සුදු පාටයි,no_error
එයා ගිය ගමන් මට කතාකරනවා,එයා ගිය ගමන් මට කතාකරනව,Grammar
පොත ඉස්කෝලෙට ගෙනාවා.,පොත ඉස්කෝලෙ ගෙනව.,grammar
අද ගොඩක් උදේ නැගිට්ටා.,අද ගොඩක් උඩේ නැගිට්ටා.,phonetic_confusion
පණ්ඩිතයා සභාවට ආවා,පන්ඩිතයා සභාවට ආව,unknown
ළමයා බයිසිකලේ පදිනවා.,ලමය බයිසිකලෙ පදිනව.,phonetic
දුර බැහැලා ගෙදර යන්න ඕන.,දුර බැහැලා ගෙදර යන්න ඕන.,no_error
පොත් බලන්න,පොත් බලන්ව,Grammar
අපි හෙට පන්සල යනවා.,අපි හෙට පන්සල් යනවා,unknown
මට කන්න බත් ඕනෙ.,මට කන්න බත් ඔනෙ,Spelling
අද ගොඩක් රස්නෙයි අනේ.,අද ගොඩක් රස්නෙයි අනෙ.,Grammar
මං ගෙදර ආවා.,නන් ආවා ගෙදර.,phonetic
මල්ලි සෙල්ලම් කරනවා.,මල්ලි සෙල්ලන් කරනව,Spoken vs Written
පුටුව උඩ ඉදගන්න.,පුටුක උඩ ඉදගන්න.,visual_scrambling
උන් ඔක්කොම එනවා.,උන් ඔක්කොම එනව,Spelling
පොඩි ළමයා හිනාවෙනවා,පොඩි ළමය හිනාවෙනව,grammar
දඬුවම කිරීමට සිදුවේය.,ඩඩුවම කිරිමට සිදුවේය.</font>,Visual Reversal
කාකා කෑම කෑවා.,කකා කෑම කෑව.,Phonetic Confusion
අන්තය,අනතය,න/ණ
තැටියට කෑම බෙදන්න,තැටියට කෑම බෙදන්න,no_error
හෙට මං ගෙදර ඉන්නවා,හෙට මං ගෙදර ඉන්නව,Grammar
මං ඒකට යන්න ඕනේ.,මං ඒකට යන්න ඔනෙ.,grammar
මම හිතනවා එයා එයි කියලා.,මං හිතනව එයා එයි කිල.,Phonetic
පන්සලට වන්දනා කරන්න යන්න.,පන්සලට වන්ඩනා කඩාගෙන යන්න.,Letter Order
ගහ උඩ කුරුල්ලෙක් ඉන්නවා,ගහ උඩ කුරල්ලෙක් ඉන්නවා,phonetic
මං පන්සලට යනවා,මං පන්සලට යනව,Spoken vs Written
සහිය බය කතා කරනව,සයිය බය කත කරනව,unknown
කිරි ටොදක් බොන්න ආසයි.,කිරි තොදක් බොන්න ආසයි,Phonetic (Th/T)
කිරි බිබී ඉන්නවා.,කිරි බිබි ඉන්නඩව.,visual scrambling
පොත මේසෙ උඩ තියලා තියෙනවා.,පොත මේසෙ උඩ ඩෙලා තියෙනව.,Visual Reversal
පූස්සෝ,පූස්සො,grammar
අලුත් පොතක් ගන්න,අලූත් පොතක් ගන්න,phonetic_confusion
ගණන ටික කීයද,ගානටික කීයද,Phonetic Confusion
අද නගරය ලස්සනයි.,අද නගරෙය ලස්සනයි.,Phonetic Confusion
මම ඉක්මනින් එන්නම්.,මං ඉක්මඩින් එන්නම්.,visual_reversal
මල් සූඩුව ලස්සනයි,මල් සූඩල ලස්සනයි,ල/ළ confusion
රූපය ලස්සනයි,රුපය ලස්සන ඩ,grammar
දණහිස රිදෙනවා,දනගෙඩිය රිදෙනවා,unknown
මල් පේනවනම්,මල් පෙන්නනව,Grammar Examples
අද මම බල්ලාව දැක්කා.,අද මම බල්ලාව දැක්කා.,no_error
දුරකථන අංකය කියන්න,දුරකථනය නමිබරය කියන්න,phonetic
පොළොවේ පණුවා ඉන්නවා.,පොලවෙ පනුව ඉන්නව.,phonetic_confusion
මම වතුර බිව්වා.,මම වරුත බිව්වා,Visual Scrambling
පොලිසියේ නවතිනවා.,පොලිසියෙ නවතීනවා,unknown
පොතේ ලියල තියෙනවා.,පොතෙ ලියල තියනව.,Grammar
එයාට රස්සාවක් දෙන්න ඕනෙ.,එයාට රස්සවක් ඩවන්න ඔනෙ.,Visual Reversal
එතකොට තමයි මං එන්නෙ.,එතකොට තමා මන් එන්නෙ,Spelling
ඔයාගේ ළමයා හරි දඟයි,ඔයගෙ ළමය හරි දගය්,Spelling
උදේට නැගිටින්න යන්න,උදෙට නැගට්ට යන්න,Phonetic Confusion
මම ඉස්කෝලේ ගියා.,මං ඉස්කොලේ ගියා,Phonetic Confusion
පොත මං ගාව තියෙනවා,පොත මං ගාව තියනවා,grammar
රස්සාව හොඳයි,රස්සාව හොදයි,ද/ඩ
අම්මයි අප්පච්චියි ගෙදර ගියාද?,අම්මයි අප්පච්චියි ගෙදර ගියාඩ.,visual_reversal
කඩේ ළඟ නවත්තන්න,කඩේ ලග නවත්තන්න,ල/ළ
අනිවාර්යයෙන් එන්න,අනිඩවර්යෙන් එනන,visual scrambling
මට සැනසුමක් දෙන්න.,මට සනයක් දෙන්න,Phonetic
දොර ලොක් කරලද?,දොර ලොක් කරලද?,no_error
කට්ටිය සින්දු කිව්වා,කට්ටිය සින්දු කිව්ව,unknown
අපි සිනාසෙනවා,අපි සිනාහ වෙනවා,unknown
මම හෙට වැඩට යනවා නේද?,මං හෙට වැඩට යනවා. ණෑ.,grammar
පේරාදෙණිය යන්න ඕනෑ.,පේරලගය යන්ඩ ඔනෑ.,visual_scrambling
මට ෆොටෝ එකක් ගන්න ඕන.,මට පොටෝ එකක් ගන්න ඔන,Spelling
එයා එහේ ගියා,එයා එහෙ ගියා,grammar
මට දැන් ගෙදර යන්න වෙලාව හරි.,මට දැන් ගෙදර යන්න වෙලාව හරි.,no_error
අද මට නිදි මතයි.,අද මට නිදි මතයී,Spelling
නැන්දා එක්ක යන්නේ.,නැනා එක්ක යන්නෙ.,phonetic
ඒක නියමයි නේද?,ඒක නියමයි නෙද්ද,Visual Scrambling
පාඩම කරනවා,පඩම කරනව,Phonetic Confusion
කාමරයේ දොර වැහුවද දන්නේ නෑ.,කමරයෙ දොර වහල දන්නෙ නෑ.,grammar
මට පොතක් ඕනෑ.,මට පොතක් ඕනෑ,unknown
ඔය ළමයා ලස්සනයි.,ඔය ළමයා ලස්සනයි.,no_error
හෙට උදේ පාසැල් යන්න ඕනෙ.,හෙට උදේ පාසැල් යන්ඩ ඕන,Grammar
කඩේ බඩු තියෙනවා,කඩෙයෙ බඩු තියෙනව,phonetic confusion
රස්සාව කරන්නේ,රස්සව කරන්නෙ,spoken vs written
දුකක් දැනෙනවා.,දුකක් දැනෙනව,Grammar
එයා ගොඩක් දුර යන්න ඕන.,එයා ගොඩක් දුර යන්න ඕන.,no_error
ළමයි සෙල්ලම් කරනවනම් කරන්න දෙන්න,ළමයි සෙල්ලම් කරනවනම් කරන්න දෙන්න,no_error
අම්මා මට කෑම දුන්නා.,අම්මා මට කෑම ඩිලා.,Visual Reversal
අම්මලා එනවද බලන්න.,අම්මල එනවද බලන්ඩ.,Spoken vs. Written form
මම ඒ පොත බැලුවා.,මම ඒ පොත බැලුවා.,no_error
මට සතෙක්ව අල්ලන්න ඕන.,මට සතෙක්ව අල්ලන්න ඔන,Spelling
පීඩනය ඕන නෑ,පීඩනෙ ඔන නැ,Grammar: Spoken vs Written
එතනට යන්න එපා.,එතනට යන්න එපා,unknown
අහසේ ලස්සන වලාකුළු පේනවා.,අහසෙ ලස්සන වලාකුළු පේනව,Spelling
පොත බැලුවා,පොත බැලුව ඩ,grammar
මට බඩගිනි මම කන්න යන්නම්.,මට බඩගිනි මම කන්න යන්නම්.,no_error
කරම්බ ගහක් තියෙනවා.,කරමබෙ ගහක් තියනව.,Visual Scrambling
පාසලට ගියා,පාසලට ගියා,no_error
බල්ලා ගෙදරට ආවා,බල්ල් ගෙදරට ආව,Phonetic Confusion
කඩයවල් ඔක්කොම වහලා දාලා තියෙන්නේ.,කඩයවල් බඩ වහල දාල තියෙන්නෙ.,grammar
පොතේ ලියන්න,පොතේ ළියන්න,unknown
මම බත් කෑවද?,මම බත් කෑව ඩැ.,Visual Reversal
අක්කා මට කතාවක් කිව්වා,අක්ක මට කතවක් කිව්ව,grammar
ගඟට යන්න ඕනෙ.,ගගට යන්න ඔනෙ,Phonetic (G/G)
ඉස්කෝලෙ යන්න ලෑස්ති වෙන්න.,ඉස්කොලේ යන්න ලෑස්ති ෙවන්න.,grammar
මම ගමේ යන්න ඕන.,මම ගමේ යන්න ඕන,unknown
මම කෑම කෑව බ.,මම කෑම කෑව ඩ,Visual Reversal
මම ඉස්කෝලේ යනවා.,මම ඉස්කෝලේ යනෝ,Spelling
පැනපොට,බැනපොට,visual reversal
ඔයා ගාව සල්ලි තියෙනවද?,ඔයා ගාව සල්ලි තියේවද?,spoken vs written
මම පොත දැගත්ත,මම පොත ඩැගත්ත,visual_reversal
මාමා ළඟ ඩොලයක් තියෙනවා.,මාමා ළඟ ඩොලයක් තියෙනවා.,no_error
උගත් බුද්ධිමතුන්ට ගරු කරන්න,උගත් බනිතවන්ට ගරු කරන්න,phonetic_confusion
පොතේ තියෙන,පොතෙ තියන,grammar
මට නංගි කෙනෙක් ඉන්නවා.,මට නන්ගි කෙනෙක් ඉන්නවා,unknown
මම පොත් මේසෙ උඩින් තිබ්බා.,මම පොත් මේසෙ උඩින් තිබ්බා,unknown
උදේ නැගිට්ටා,උදේ නැගිට්ට,unknown
මල්ලි ගාව පොතක් තියෙනවා.,මල්ලි ගාව පොතක් තියනව,Spelling
මල් වට්ටිය.,මල් වටට,Visual Scrambling
පොලේ නැතිනම්,පොලේ නැතිනම්,no_error
මම යන්න එනවා,මම යන්නඩ එනව,spoken vs written
පළවෙනි පාරට මම ඔයාව දැකලා තියෙන්නේ,පලවෙනි පාරට මම ඔයාව දැකල තියෙන්නෙ,grammar
දොස්තර බැලුවට සුව උනේ නෑනේ.,දොස්තර බැලුවට සුවඋනෙ නැනෙ.,Phonetic Confusion
,අද රෑම හඳ ලස්සනය.,unknown
අද ඉඳන් වැඩ පටන් ගන්න,අද ඉඳන් වැඩ පටන්ගන්ඩ,Phonetic Confusion
"{""correction"": ""අසනීපය දරාගැනීම"", ""analysis"": [{""pattern"": ""Visual Reversal & Grammar"", ""description"": ""Replaced 'ඩ' with 'ද' and added correct suffix""]}",අසනීපෙ ඩැරැගැනීම,unknown
ගහ කොළ වැවෙනවා.,ගහ කොළ හඩනවා.,phonetic_confusion
සින්දුව ලියනවා,සින්දුව ලියනව,unknown
ගෙදරට ලියුමක් ලැබිල තියෙනවා.,ගෙදරට ලියුමක් ලබල තියේනවා.,phonetic_confusion
අම්මයි තාත්තයි ගෙදර ඉන්නවා.,අම්මයි තාත්තයි ගෙදර ඉන්නව.,grammar
දොස්තර මහත්තයා ගාවට යනවා,දොස්තර මහත්තය ගාවට යනව,grammar
මම ගියා නේ.,මං ගියා බනෙ,informal speech
අද ඉඳලා වැඩ පටන් ගන්නවා,අදන ඉදල වැඩ පටන ගන්නව,unknown
ළමයින් සින්දු කියනවා.,ලමයින් සින්දු කියනව.,grammar
ඔෆිස් යනවා,ඔෆිෂේ යනව,spoken vs written form
මුළු දවසම හිටියා.,මුලු දාවල්ම හිටියා,phonetic
සන්තෝසයි,සන්තොසයි,Phonetic Confusion
කතාව ලියලා ඉවරයි,කථාව ලියල ඉවරදනව,Grammar
ගාල්ලේ ඉදලා කොළඹට එනවා,ගාල්ලෙ ඉදල කොලබට එනව,grammar
එයා එද්දි මම නිදාගත්තා.,එයා එද්දි මන් නිදියගත්ත,Spelling
තාත්තා එනවා කාර් එකේ,තාත්තා එනව කාර් එකේ,unknown
නංගීට බඩගිනියි.,නංගීට බඩගිනිය්,Spelling
මට කන්න බොන්න දෙන්න.,මට කන්න බොන්න ඩෙන්න.,visual_reversal
මේ ළමයා හරි හොඳයි.,මෙ ලමය හරි හොදයි.,Spelling
සරස්වතී පූජාව ලංවෙනවා.,සරස්වති පූජාව ලංවෙනව,Grammar
පොලිසියට කතා කරලාද?,පොලිසියට කතා කරලා ඩැ,phonetic
මම කනවා දැන්,මම කනව දැන්,Grammar
මම හාලේ යනවා,මම හාලෙ යනවා,Phonetic Confusion
පොතේ පිටු ටික ඉරීලා තියෙන්නෙ.,පොතේ පිටු ටික ඉරීල තියෙන්නෙ.,grammar
එයා ගොඩක් දුකින් හිටියෙ.,එයා ගොඩක් දුකින් හිටියෙ,unknown
මට බඩගිනි දැනෙනවා.,මට බඩගිනි දැනෙනවා.,no_error
අද සන්දෑවේ හමුවෙමු.,අද සන්දෑවේ හමුවෙමු.,no_error
පුටුව උඩ වාඩිවෙන්න.,පුටුව උඩ වාඩීවෙන්න,Phonetic Confusion
මම කඩේට ගිහිල්ල එනවා,මම කඩෙට ගිහිල්ල එනව,Grammar
කාමරේ දොර අරිනවා,කමරෙ දොර ඇරනව,grammar
සිනමා වලිය බලන්න ගියා,සිනමා වලිය බලන්න ගියා,unknown
කෙනෙක් එනවා.,කෙනක් එනවා,Spelling
එයාගේ අම්මා ගියා.,උගෙ අම්මා ගියා,Spelling
අම්මට උගුරේ අමාරුවක්.,අම්මට උගුරේ අමාරුවක්.,no_error
මං හෙට එනවා කිව්වා.,මං හෙට එනව කිව්ව.,Spoken vs. Written form
මල්ලි පොළට යනවා,මල්ලි පොලෙ යනව,spoken_vs_written
මල් වට්ටිය අරගෙන එන්න.,මල් වට්ටිය අරගෙන එන්නඩ.,න/ණ confusion
මට යන්න බෑ.,මනක් යන්න බෑ.,මන/මට
කඳ කඳ ලියව,කද කද ලව,phonetic_confusion
පොතේ කරුණු ලියා තබන්න.,පොතෙ ගරන ලියා තබන්න.,Phonetic Confusion
අපි හන්දියට යමු.,අපි හංඩියට යමු,Phonetic (N/ND)
බල්ලා දුවනවා වත්තෙ,බල්ල දුවනව වත්තෙ,grammar
අපි ඌට කතා කළා.,අපි ඌට කතාකලා.,Spelling
අපි යාලුවෝ සෙට් වෙලා හිටියා.,අපි යාලුවො සෙට් වෙලා හිටිය.,unknown
අපි සින්දු කියනවා නටන්නත් පුළුවන්.,අපි සින්දු කියනව ඩාන්නත් පුලුවං.,grammar
පළවෙනිම දවසේ මට තේරුණා එයා හරිම හොඳ කෙනෙක් කියල,පළවෙනිම දවසේ මට තේරුණා එයා හරිම හොඳ කෙනෙක් කියල,no_error
කොළ පාට ළමයි,කොල පාට ලමයි,Phonetic Confusion
මගේ ගාව සල්ලි නෑ.,සල්ලි නෑ මගේ ගාව.,none
පූජ්‍ය,පුයගිය,Visual Scrambling
උඹ කොහෙද යන්නේ.,උඹ කොහෙද යන්නෙ,Spelling
මල් පෝච්චිය ලස්සනයි.,මල් පොච්චීය ලස්සනයි,Spelling
අම්මා කඩේ ගියා.,අම්මා කඩෙ ගියාව.,grammar
පිනට,පිනිට,ට/ටු
කඩේට ගිහින් එන්න,කඩේට ඉඩ යන්න,Word Choice
ගණන් හදන්න ඕන,ගණන් හදන්න ඕන,no_error
අද වෙලාව කීයද දන්නෙ නෑ නේද.,අද වෙලාව කීයද දන්නෙ නැනෙ.,phonetic_confusion
කණ්ණාඩිය බලලා කොණ්ඩෙ පීරගන්න.,කන්නඩිය බලල කොන්ඩෙ පීරගන්න,Phonetic (N/NN)
අපි ඊයේ නාඩගම් බලන්න ගියා.,නාඩගම් බලන්න ගියා අපි ඊයෙ.,grammar
රට හරිම ලස්සනයි නේද?,රට හරිම ලස්සනයි නෙද?,Phonetic Confusion
අනිද්දා මාත් එනවා.,අනිද්ද මාත් එනව.,Spelling
අද ඉඳලා හැමදේම වෙනස්.,අද ඉඳල හැමදේම වෙනස්,Spelling
මට බඩගිනියි වගේ.,මට බඩගිනියි බයෙි.,phonetic
එයා ළඟ ඉන්නවා,එයා ළඟ ඉන්නවා,no_error
ඩොක්ටර් බෙහෙත් දෙනවා,ඩොක්ටර් බෙහෙත් ඩෙනව,Visual Reversal
පන්තියේ ළමයි ගොඩාක් ඉන්නවා.,පන්තිෙය් ළමයි ගොඩාක් ඉන්නවා.,visual_scrambling
ඩයල් කරන්න,ඩයල් කරන්න,no_error
ගහේ පල වැවී,ගහේ පලා වවී,Phonetic Confusion
සන්ඩේ මම පල්ලියේ ගියේ.,සන්ඩෙ මං පල්ලියෙ ගියෙ.,Spoken vs Written
මම ආසම සින්දුව අහනවා.,මම ආසම සින්දුව අහනවා.,no_error
කැනඩාවේ ජීවත් වෙන එක ලේසි නෑ.,කැනඩවෙ ජීවත් වෙන එක ලේසි නෑ.,unknown
මල් වට්ටියේ තිබ්බා,මල් වට්ටියෙ තිබ්බ,grammar
සමහර වෙලාවට මට තරහ යනවා.,සමහර වෙලාවට මට තරහ යනවා,unknown
පළවෙනි වතාවෙ මට ඒක තේරුණා,පළවෙනි වතාවෙ මට ඒක තේරුණා,no_error
මට කන්න බත් ඕනෙ.,මට කන්න බත් ඕනෙ.,unknown
පොත් ලියයි.,පොත් රයිබ,Visual Scrambling
සල්ලි තියෙනවා.,සල්ලි තීයනව,Grammar
එයාලා බස් එකේ ආවා,එයාල බස් එකේ ආව,grammar
අහස නිල් පාටයි.,අහස නිල පාටයි.,phonetic
එනකොට එන්න බලන්න.,එන කොතෙන් බලන්න,Visual Scrambling
අද ඉස්කෝලෙ යන්න බෑ.,අද ඉස්කෝලෙ යන්න බැ.,grammar
ඔය බඩුව මොකක්ද?,ඔය බඩුව මොකද්ද,Grammar
පාරේ ලස්සන ගස් තියෙනවා.,පාරෙ ලස්සන ගස් තියෙනවා,Spelling
පොලිසියට යන්න ඕනෑ,පොලිසියට යන්න ඔනෑ,phonetic
පූසෝ ගෙදර ඇවිත් සෙල්ලම් කරනවා.,පූසො ගෙදර ඇවිල්ල සෙල්ලමි කරනව.,Grammar
බටහිර අහස රතු පාටයි.,බටහිර අහස රතු පාටයි.,unknown
අහස නිල් පාටයි,අහස නිලි පාටයි,phonetic_confusion
අහසේ තරු පායලා,අහසේ තරු පායලා,unknown
අම්මා කුස්සියේ උයනවා.,අම්මා කුස්සියේ උයනව,Grammar
උස මහත නැති මිනිහෙක්,උස මහත නැන මිනිහෙක්,unknown
නැන,නැන,no_error
එයා ගෙදර ගියා.,එය ගෙදර ගියා,Spelling
ඔයාලා කොහෙද යන්නේ.,ඔයාල කොහෙද යනව,Spelling
පලයන් කලින් කියන්න.,පලයන්න කලින් කියන්න.,grammar
මට සිංහල ලියන්න පුළුවන්.,මට සිංහල ලියන්න පුලුවන්,Spelling
ගොඩක් කාලෙකින් ඔයාව දැකලා සතුටුයි.,ගොඩක් කලෙකින් ඔයාව දැකල සතුටුයි,Phonetic (L/L)
කිරි බිව්වද ළමයා,කිරි බිව්වද ළමය,unknown
ගහේ ගෙඩි පැහෙනකොට ලස්සනයි.,ගහේ ගෙඩි පැහෙනකොට ලස්සනයි.,unknown
ගහ උඩ කුරුල්ලො ඉන්නවා.,ගහ උඩ කුරුල්ලො ඉන්නව,Grammar
පොලිසිය හොරු අල්ලන්න ඕනෑ.,පොලිසිය හොරු අල්ලන්න ඔනෙ,Spelling
අම්මා කෑම උයනවා වගේ,අම්මා කෑම උයනවා වගේ,no_error
පැනලා ගිහින්,පැනල ගිහින්,spoken vs written
අනික් කට්ටිය එනවද?,අනික කට්ටිය එනවද,Spelling
අම්බලන්ගොඩ ලුණු ගොඩක් තියෙනවා,අම්බලන්ගොඩ ලුණු ගොඩක් තියෙනවා,no_error
අද දවස කීයද?,අද ඩවස කීයද?,Visual Reversal
උඩ බලන්න.,උඩ බලනන,Spelling
එයාගෙ නම මොකක්ද.,එයාගෙ නම මොකක්ඩ,Phonetic (D/Nd)
පොලිසිය හොරු අල්ලනවා.,පොලිසිය හොරු අල්ලනව.,Grammar
දුරකථනය නාද වුණා.,දුරකථනය නාද වුණා.,no_error
කන්න ටිකක් දෙන්න,කන්න ටිකක්,contextual
බඩගිනි කන්න තියෙනවා.,බඩගිනි කන්න තියෙනවා.,no_error
මම චිත්‍ර අඳිනවා.,මම චිත්‍ර අඳිනව,Grammar
කොහෙද දුවන්නේ?,කො ඩහෙන්නද,visual_scrambling
මං හිතනවා කරනවා කියල කියනවා.,මං හිතනව කරනව කියල කියනවා.,grammar
බයික් එක ඔතන තියෙනවා.,බය්ක් එක ඔතන තියනව.,unknown
මම බයට දිව්වා.,මම බයට දිව්ව.,grammar
මම බත් කන්නම්,මම කන්න බත්,grammar
අඬ හඬට.,අඩ හදට,phonetic_confusion
පොඩුව ගන්න,බඩුව ගන්න,visual_reversal
සිංදුවක් දාන්න.,සින්ඩුවක් දාන්න,Phonetic (S/Si)
අන්තිම තරගය බලන්න ලස්සනයි.,අන්තිම තරගය බලන්න ලස්සනයි.,unknown
පොලිසියට කතා කළා.,පොලිසියට කතා කල.,grammar
